number_of_previous_reports,verified_report_count,transaction_price,reference_market_price,price_deviation_percentage,imei_status,seller_report_frequency,information_completeness,risk_label
2.0,2.0,200971.85,170589.8043155004,17.81,1.0,1.871103466962798,0.30103128880414637,1
0.0,0.0,130901.2,145899.69090363657,10.28,0.0,0.36122173888396236,0.4650006785933833,1
2.0,2.0,28543.73,32793.8053777653,12.96,1.0,1.9859622505568721,0.38290717665257895,1
8.0,1.0,236225.42,196330.96417256774,20.32,4.0,5.200286545249705,0.7724556218192971,2
0.0,0.0,11570.29,14280.784399224867,18.98,0.0,0.3928638304048817,0.40135133943262014,1
1.0,0.0,110651.59,129417.06389262697,14.5,0.0,0.37059998537015343,0.7097684624211961,1
1.0,0.0,51710.11,42633.44938075518,21.29,0.0,0.4943747586211468,0.3885274318076558,1
1.0,1.0,148888.17,146658.95335171197,1.52,0.0,0.3868076256046824,0.7930929730032916,0
4.0,0.0,32265.2,23377.188254068005,38.02,2.0,3.1417872653510313,0.4998818511535067,2
4.0,2.0,32739.71,25409.16774019206,28.85,2.0,3.007636199563867,0.5160874713293735,2
6.0,1.0,134977.14,98595.43070699513,36.9,3.0,4.484083077239389,0.7482697205805386,2
5.0,1.0,168217.2,198861.79842636344,15.41,2.0,3.3580345219223737,0.957261726597098,2
2.0,1.0,40887.4,62538.08555642373,34.62,1.0,1.9063033139679242,0.9941207349698824,1
6.0,2.0,170070.04,126380.3505437393,34.57,3.0,4.396622077214376,0.5500845280966081,2
1.0,0.0,91667.67,108533.82413110475,15.54,0.0,0.36788054499658457,0.962428601251827,1
1.0,1.0,170172.73,170002.72583358313,0.1,0.0,0.37573723429208766,0.7286250278115012,0
0.0,0.0,57058.67,64832.02546398043,11.99,0.0,0.4647290923869343,0.9345280032448882,1
6.0,2.0,104276.44,115439.43233518238,9.67,3.0,4.457055640964237,0.3194965037130083,2
3.0,2.0,162159.13,190618.46786998436,14.93,1.0,1.6896133729199914,0.32322099629354833,1
1.0,1.0,103390.04,73191.30358385094,41.26,0.0,0.015480761816423938,0.35220178439285976,1
4.0,1.0,110679.33,93487.0604489344,18.39,2.0,3.0193407967480335,0.8630751013536639,2
1.0,1.0,237992.56,178874.52975569756,33.05,0.0,0.22331918226173436,0.3965695345751832,1
4.0,1.0,58613.0,73174.78287454699,19.9,2.0,3.4174897649502034,0.4236095081478447,2
3.0,2.0,86765.5,82328.01528042495,5.39,1.0,1.9238056133077608,0.7097799313903719,1
2.0,1.0,33233.8,67782.57368676267,50.97,1.0,1.7021947906149621,0.9702121034482691,2
2.0,1.0,185368.48,163810.96131176385,13.16,1.0,1.6508058126739837,0.6969787409563077,1
4.0,0.0,147270.92,186773.52438317818,21.15,2.0,3.253300722215773,0.8128170606085605,2
2.0,0.0,165049.11,129908.78732671207,27.05,1.0,1.9162716034349687,0.43141398444312484,1
0.0,0.0,145231.94,128489.72493933397,13.03,0.0,0.318248059838584,0.9399218372040503,0
0.0,0.0,68483.19,84100.68774550327,18.57,0.0,0.06990290682976741,0.3391136539963384,1
8.0,1.0,14664.43,12371.912418584368,18.53,4.0,5.181116971829279,0.4979733058176625,2
7.0,2.0,49234.16,43048.14377647892,14.37,4.0,5.277712957595769,0.6176069339305816,2
5.0,1.0,24606.0,38013.28737214455,35.27,2.0,3.269131215643586,0.4583205083222852,2
0.0,0.0,22985.42,32017.58053447698,28.21,0.0,0.41531701004435373,0.7646325698790742,1
8.0,1.0,49129.02,134268.9900501451,63.41,4.0,5.466085881920328,0.7751547032425983,2
5.0,0.0,30563.44,35906.30095102155,14.88,3.0,4.050231547087628,0.4483006130307669,2
6.0,2.0,27991.17,26270.450981976654,6.55,3.0,4.112203795172944,0.3060138881123091,2
2.0,2.0,86039.45,82690.48624675306,4.05,1.0,1.6960784553197108,0.3520220735934566,1
0.0,0.0,81552.53,57314.305963900726,42.29,0.0,0.14819904072551393,0.30029951951909295,1
1.0,0.0,27361.15,37713.50367081763,27.45,0.0,0.20414524747922141,0.933775600848149,1
8.0,0.0,33251.46,37764.29635612792,11.95,4.0,5.020360614307616,0.7351659866554296,2
2.0,1.0,68543.04,58679.0842887255,16.81,1.0,1.5330066350814076,0.39690469275913637,1
1.0,0.0,108697.41,112001.45504144787,2.95,0.0,0.4191807389685372,0.3647590455389082,0
2.0,2.0,176512.33,154038.16401733775,14.59,1.0,1.5512908920559436,0.8723164051349859,1
4.0,0.0,269636.0,172027.5622179065,56.74,2.0,3.4120375559973746,0.8677277170434317,2
0.0,0.0,153533.24,152769.39145038155,0.5,0.0,0.15325600090151753,0.9491657481499942,0
8.0,1.0,165439.17,129360.51934379245,27.89,4.0,5.1546116849444275,0.41149143687813106,2
5.0,0.0,220306.77,182448.66972870182,20.75,3.0,4.050373514063404,0.6655923321116654,2
5.0,2.0,63216.37,108749.99251950762,41.87,3.0,4.00663169074175,0.38503323969170433,2
2.0,0.0,141820.56,130337.79976220136,8.81,1.0,1.6776443042226927,0.8569476953422175,1
5.0,2.0,52977.67,88207.904563055,39.94,2.0,3.4176784531469915,0.5887393486650013,2
4.0,2.0,71935.85,72202.99816734175,0.37,2.0,3.459977732269031,0.7870778896043683,1
5.0,1.0,58778.01,73025.23809763815,19.51,2.0,3.0307927780651647,0.3212195775615006,2
1.0,1.0,56835.17,38180.28352533562,48.86,0.0,0.015454031902804366,0.8445516979642602,1
3.0,1.0,91326.11,161353.55362803175,43.4,1.0,1.5794003100651668,0.4606403993253303,2
1.0,0.0,23277.82,20519.93602337332,13.44,0.0,0.3831449043428479,0.889963050464665,1
2.0,0.0,81615.13,138190.1963152588,40.94,1.0,1.6024413830117374,0.43010093874280075,2
2.0,2.0,213365.99,174247.4366390368,22.45,1.0,1.615405187197233,0.8530680663164898,1
1.0,1.0,85469.41,104511.38592721977,18.22,0.0,0.44447134894564466,0.393874012175935,1
0.0,0.0,29697.79,23338.14854989454,27.25,0.0,0.43747451937926735,0.7643920668219412,1
4.0,0.0,74645.82,91399.31771100927,18.33,2.0,3.3351446097100843,0.8454811076466371,2
0.0,0.0,85381.86,75213.05454764646,13.52,0.0,0.08200689024073948,0.5703629957785181,1
8.0,2.0,180249.31,197252.47066689184,8.62,4.0,5.190574594825786,0.47103282973322685,2
5.0,0.0,162301.17,141340.38830759944,14.83,2.0,3.1180887030795525,0.5411693162504434,2
2.0,1.0,118808.45,147058.3629174948,19.21,1.0,1.8359227909215643,0.5076141612894656,1
5.0,2.0,110426.47,108007.11460282389,2.24,2.0,3.3899655270903137,0.7431466412484735,1
1.0,0.0,125647.64,144788.70834399833,13.22,0.0,0.07106686100877779,0.3311932211360362,1
8.0,0.0,119833.91,147288.48557721195,18.64,4.0,5.44897791645351,0.32900546980943224,2
3.0,0.0,23740.86,22608.18734175992,5.01,1.0,1.7314129535919183,0.5014408058979638,1
6.0,1.0,54162.18,52295.23965068137,3.57,3.0,4.397502927247475,0.4938813531856796,2
0.0,0.0,7960.65,12463.835531488352,36.13,0.0,0.025818804270981155,0.4239491667219989,1
3.0,1.0,90855.27,106863.40712642866,14.98,1.0,1.6802905935097188,0.801770462612102,1
2.0,2.0,178254.19,176401.97241884505,1.05,1.0,1.5073904738486625,0.31663404663815553,1
7.0,0.0,112806.05,125815.3615921124,10.34,4.0,5.359242365717825,0.946964338573304,2
5.0,0.0,138589.02,105039.43028346478,31.94,2.0,3.039725485115593,0.8302407785241313,2
3.0,1.0,252311.77,185933.5110460216,35.7,1.0,1.6691428955132221,0.582070391479405,2
0.0,0.0,60280.06,42721.51709413324,41.1,0.0,0.3908743403194033,0.9012540939543374,1
3.0,0.0,24310.2,24174.818549960284,0.56,1.0,1.874483239216457,0.732707462175552,1
4.0,0.0,169655.62,184288.08991784637,7.94,2.0,3.3201448101864215,0.6991606931196136,1
2.0,0.0,163593.51,181528.53343457452,9.88,1.0,1.8470103194206944,0.5191125026622466,1
0.0,0.0,81510.82,139764.7723804604,41.68,0.0,0.32561566255178637,0.7641732715330523,1
6.0,0.0,54755.95,56736.04079824987,3.49,3.0,4.320637979503415,0.3977862977591536,2
7.0,1.0,210514.32,194255.16469383045,8.37,4.0,5.1748273200207,0.6674295060648374,2
0.0,0.0,181696.62,155415.80684272706,16.91,0.0,0.014082852038427796,0.38127704251774946,1
5.0,1.0,131206.99,138039.97088108712,4.95,2.0,3.22091292490789,0.6116028588776045,1
0.0,0.0,81047.91,52353.151562935076,54.81,0.0,0.022729825795172354,0.7313898467915247,2
5.0,1.0,66061.47,107486.94261029197,38.54,2.0,3.234433697561821,0.40885240627730385,2
0.0,0.0,80982.98,166289.48584642998,51.3,0.0,0.2320394883648783,0.4554837284543253,2
4.0,0.0,126080.4,173449.44269913435,27.31,2.0,3.08936076863191,0.8692804075819536,2
6.0,0.0,75043.25,116671.72200224092,35.68,3.0,4.3921308151845935,0.4789990070639245,2
5.0,2.0,134859.58,109330.8303066602,23.35,3.0,4.352104670955216,0.36688924064793094,2
0.0,0.0,149060.66,142559.9273784517,4.56,0.0,0.2797697703504721,0.5314830848896956,0
7.0,0.0,127617.69,110367.28041936984,15.63,4.0,5.462954290060844,0.9545979582149362,2
0.0,0.0,107678.07,89359.39723247557,20.5,0.0,0.14359355660510542,0.785647793098581,1
0.0,0.0,15787.6,26229.61217063385,39.81,0.0,0.13101611073249675,0.7028040241754059,1
4.0,0.0,34591.08,33949.438385960224,1.89,2.0,3.0917179077761947,0.8882937350484335,1
3.0,1.0,172245.25,154452.3389581268,11.52,1.0,1.77221989389085,0.762131075022305,1
5.0,1.0,15668.68,14686.172278610933,6.69,3.0,4.1026785913492905,0.8678018141640331,2
5.0,0.0,23221.74,19937.954901545643,16.47,3.0,4.434447789200809,0.7600099015354872,2
2.0,2.0,253671.22,181882.27983641933,39.47,1.0,1.652154885241902,0.9049804741195431,2
8.0,0.0,139044.14,143759.45155639012,3.28,4.0,5.24546550511803,0.7368057228607278,2
1.0,1.0,15470.52,10800.417163687764,43.24,0.0,0.2647553824650812,0.4854124085512182,1
5.0,2.0,58694.07,69288.24112742582,15.29,2.0,3.1538232737177494,0.3287826999958394,2
0.0,0.0,125419.68,155030.5075131535,19.1,0.0,0.3692098105348441,0.37372417284404114,1
8.0,1.0,78417.36,89344.15199567856,12.23,4.0,5.346036468116878,0.6587120499325465,2
0.0,0.0,72609.57,99071.58634304121,26.71,0.0,0.3804055141106223,0.980237866416485,1
1.0,0.0,102370.51,97171.82159875052,5.35,0.0,0.302960234895497,0.8316231803573064,1
2.0,2.0,48492.67,48405.536619217724,0.18,1.0,1.7300911461299389,0.8428098691445578,1
7.0,1.0,178433.2,147064.37320066956,21.33,4.0,5.224458548271258,0.7646509853628726,2
8.0,0.0,26924.58,29571.202799060233,8.95,4.0,5.358267280809232,0.9324416928472452,2
5.0,2.0,110271.13,106377.7100538675,3.66,3.0,4.188517620527758,0.8148215236794467,2
7.0,2.0,41526.13,42291.60721727874,1.81,4.0,5.218629890556093,0.48085438760982696,2
7.0,0.0,19163.42,18841.23381965964,1.71,4.0,5.081835559611017,0.6496375996195303,2
5.0,0.0,36378.97,37216.33804496197,2.25,2.0,3.33981522816069,0.5830400974218082,1
3.0,0.0,159075.18,175173.63789923093,9.19,1.0,1.5384623746173967,0.4157735726761218,1
6.0,0.0,41946.67,43468.056308287625,3.5,3.0,4.495256080440241,0.45566394531848825,2
5.0,1.0,73015.46,62890.149712346596,16.1,2.0,3.071868788584808,0.49960975176289135,2
2.0,0.0,60307.3,36238.00976187718,66.42,1.0,1.6914891980592133,0.42155056549460035,2
0.0,0.0,202511.75,149753.56931497416,35.23,0.0,0.11889031644914066,0.45211587946501197,1
5.0,0.0,80799.65,94635.3417787353,14.62,3.0,4.14532906299192,0.941475352716646,2
0.0,0.0,213217.0,189290.65734256347,12.64,0.0,0.1612266246520323,0.5402674457465414,1
7.0,2.0,66735.0,136221.67062710144,51.01,4.0,5.359168319527189,0.8792616827083808,2
0.0,0.0,74345.85,110963.95189248663,33.0,0.0,0.08837463657722444,0.3450729610293227,1
0.0,0.0,149111.8,134759.8770093519,10.65,0.0,0.13192827108966998,0.9872665727149814,1
6.0,0.0,16582.84,17680.82280983619,6.21,3.0,4.050603045135222,0.8353542189027474,2
0.0,0.0,206523.61,190625.4494244512,8.34,0.0,0.16572999935703836,0.9347012469515266,1
1.0,1.0,132460.47,191721.62597927713,30.91,0.0,0.470620871680261,0.6681379601056947,1
4.0,0.0,43476.74,62466.57502555063,30.4,2.0,3.1900544913416686,0.7441765427402365,2
8.0,1.0,114795.45,129376.1417211954,11.27,4.0,5.388669152023266,0.5525733205374869,2
1.0,1.0,50709.55,48363.896386576176,4.85,0.0,0.23085196900004706,0.602421854681684,1
3.0,0.0,167152.79,114019.64097408719,46.6,1.0,1.7247998421560158,0.8255199700299902,2
5.0,1.0,160329.91,156449.95543363472,2.48,3.0,4.4119854720017075,0.33497804799923364,2
7.0,1.0,225996.5,188566.1277130245,19.85,4.0,5.013409726786887,0.3255859347797111,2
5.0,2.0,77920.64,74451.21542047766,4.66,2.0,3.43244324960474,0.912444733409951,1
1.0,0.0,201492.02,141765.9999781247,42.13,0.0,0.242604225800093,0.3770053480346258,1
0.0,0.0,131333.69,146121.1517259641,10.12,0.0,0.17556359259202958,0.8047209645379112,1
1.0,1.0,29957.32,52018.27222130083,42.41,0.0,0.45341747547945044,0.4396799581082607,1
0.0,0.0,124711.06,129516.10498374452,3.71,0.0,0.16992967588676772,0.5563462204929686,1
4.0,2.0,93283.13,134530.04494567757,30.66,2.0,3.488848677543098,0.5054848736085853,2
0.0,0.0,188133.52,155174.46020574652,21.24,0.0,0.46817824964147736,0.6432348429092739,1
5.0,1.0,142252.87,199989.97891636138,28.87,2.0,3.133961606108371,0.8786630406107652,2
5.0,2.0,20237.84,17644.15019103131,14.7,2.0,3.1703013599118406,0.9128738635934075,2
4.0,2.0,62354.18,48437.95829873603,28.73,2.0,3.406083773008526,0.45543116763572117,2
1.0,0.0,22918.35,37564.90206475073,38.99,0.0,0.09780504113236321,0.5363539494116426,1
6.0,2.0,46943.44,39342.46995993348,19.32,3.0,4.365975782035761,0.8858418014318044,2
5.0,0.0,132393.57,96307.24551817335,37.47,3.0,4.0645755735042615,0.36274450135485903,2
6.0,0.0,112097.74,176921.9457564581,36.64,3.0,4.102802763372983,0.3818277869747019,2
1.0,0.0,113022.93,95257.42112287346,18.65,0.0,0.2502529047943339,0.6357069937817068,1
1.0,1.0,153904.77,137011.27558853853,12.33,0.0,0.3729408634082115,0.8531010492783824,1
7.0,2.0,62569.83,81534.83708074164,23.26,4.0,5.369714321775591,0.5351833267594189,2
3.0,1.0,81601.08,70736.02990911188,15.36,1.0,1.8044611361233727,0.34860233664317625,1
2.0,1.0,128703.88,168504.68511751803,23.62,1.0,1.636056336947953,0.9775072830445339,1
2.0,0.0,103768.07,134554.02692249973,22.88,1.0,1.7076889320717097,0.9572379255799737,1
5.0,1.0,80787.29,76670.10473568185,5.37,2.0,3.12310713329208,0.7563309914160206,1
8.0,1.0,177628.66,183690.44963696133,3.3,4.0,5.138508712520398,0.7773134891782703,2
1.0,1.0,118508.45,104717.1973723525,13.17,0.0,0.16161201034928308,0.953586745946492,1
8.0,0.0,42298.09,45772.20198686481,7.59,4.0,5.299423855516761,0.7507043903138455,2
1.0,0.0,88036.97,101812.15386885943,13.53,0.0,0.1037974442755829,0.8518887005190989,1
5.0,2.0,131145.06,138192.8932073604,5.1,2.0,3.021284759592049,0.6244611080587927,1
4.0,1.0,96555.01,79751.39195867084,21.07,2.0,3.3462273258995814,0.4596018187041795,2
1.0,1.0,239604.91,170319.09989232474,40.68,0.0,0.010903200302910143,0.8827725062527016,1
0.0,0.0,114947.91,111297.35631515917,3.28,0.0,0.4853924089295342,0.7790673506346322,0
2.0,2.0,64664.45,98875.3081875486,34.6,1.0,1.6751427551233353,0.5026935199049976,2
8.0,1.0,185137.51,173155.17042010653,6.92,4.0,5.003290686159591,0.7362928858125813,2
5.0,1.0,138164.66,97954.38322856907,41.05,2.0,3.44229265570726,0.8715387875011655,2
7.0,2.0,99253.37,88737.92695165513,11.85,4.0,5.299902266668414,0.48924165843639594,2
6.0,0.0,30650.77,29706.115113364234,3.18,3.0,4.408696147420503,0.837706476105335,2
3.0,1.0,63958.49,78873.4569828234,18.91,1.0,1.7175123578179827,0.35064037229427525,1
5.0,2.0,129602.69,85439.17710698553,51.69,3.0,4.177090941506966,0.7374641768986487,2
1.0,1.0,50101.77,44318.24065265306,13.05,0.0,0.3275947215239651,0.9992535376430072,1
0.0,0.0,132772.04,121686.40832550186,9.11,0.0,0.20300043744556423,0.9064623161792649,0
6.0,0.0,10295.61,37329.99340456606,72.42,3.0,4.278104299010461,0.9129606366029779,2
6.0,0.0,39680.3,52501.05983473929,24.42,3.0,4.138911439057372,0.7762500069867913,2
1.0,1.0,148697.86,116607.47728777672,27.52,0.0,0.16632270336538751,0.6228309893170916,1
5.0,1.0,76426.37,61106.87729770004,25.07,2.0,3.0410953816108606,0.7740508723715449,2
5.0,0.0,119225.12,131536.97892438713,9.36,2.0,3.390685993359183,0.524834635978491,1
8.0,2.0,110063.45,141197.49525493386,22.05,4.0,5.174425413486949,0.6869379761932665,2
4.0,0.0,70862.97,67245.17801526355,5.38,2.0,3.487499572715562,0.6777759373145154,1
2.0,1.0,30296.25,26603.65948437679,13.88,1.0,1.6298794120593958,0.6806112456464477,1
2.0,2.0,111122.22,102995.84842749448,7.89,1.0,1.737526340134763,0.5883913133163052,1
3.0,0.0,28452.57,27650.699817445256,2.9,1.0,1.6527661002691956,0.5469612812529149,1
5.0,0.0,124952.94,107894.77948953494,15.81,2.0,3.346962687457837,0.5312481600477724,2
7.0,0.0,101234.07,147981.39000450243,31.59,4.0,5.4041829598102105,0.4573116007956311,2
2.0,1.0,79223.7,127862.66037945265,38.04,1.0,1.7435053652589387,0.606983071456494,2
1.0,0.0,62336.91,95170.85183028334,34.5,0.0,0.18346377870310598,0.38242195754483566,1
1.0,1.0,209063.86,189713.12410053404,10.2,0.0,0.37237565953192314,0.9311014796246566,1
5.0,0.0,36324.72,29331.974285612392,23.84,3.0,4.095727522032012,0.34877865979953293,2
6.0,2.0,233762.62,177200.28631326693,31.92,3.0,4.299733169106066,0.8861931003239967,2
1.0,1.0,184059.82,162024.4858018286,13.6,0.0,0.3668122301364598,0.46887388585506645,1
1.0,0.0,97118.83,89750.33026927107,8.21,0.0,0.13463480568953634,0.8972534256345432,1
5.0,0.0,45229.45,39044.76266113574,15.84,2.0,3.3278496700570095,0.8041863363230599,2
1.0,0.0,43829.69,39614.68929775184,10.64,0.0,0.36761307254346304,0.9446825848834419,1
6.0,0.0,134913.77,185143.0945411315,27.13,3.0,4.058708314742036,0.9091630819004917,2
3.0,0.0,63026.9,54403.886212869416,15.85,1.0,1.661953742169585,0.7907612664978865,1
1.0,1.0,236777.44,176081.98451768744,34.47,0.0,0.20315302396709417,0.4061751761643133,1
7.0,0.0,148700.41,105626.0917867549,40.78,4.0,5.387978698529949,0.6843317238632413,2
0.0,0.0,115037.49,97729.58097819965,17.71,0.0,0.28375256645627,0.537879637537816,1
0.0,0.0,171829.96,127707.14084092593,34.55,0.0,0.22478073656845526,0.920042944948297,1
1.0,0.0,48350.15,50857.42574971425,4.93,0.0,0.15938622433544802,0.9105599458383493,0
0.0,0.0,42505.69,91390.42807134186,53.49,0.0,0.0020306836124418526,0.5198262166790976,2
1.0,0.0,229213.42,188312.04337293666,21.72,0.0,0.010110045481793506,0.7701897054945963,1
0.0,0.0,56086.79,55268.816505962466,1.48,0.0,0.12022311286812931,0.5367993789400494,0
0.0,0.0,250515.53,185100.87618715284,35.34,0.0,0.058345302917546304,0.7747333467739235,1
0.0,0.0,168209.6,198899.84235574395,15.43,0.0,0.059793298513887705,0.7297097310755793,1
5.0,2.0,32177.03,19862.365734344385,62.0,2.0,3.301369812033223,0.6576635667164554,2
4.0,1.0,131290.28,110962.03329236059,18.32,2.0,3.3027276616100973,0.9148842098473391,2
3.0,0.0,32095.13,42645.66694180083,24.74,1.0,1.5223860547186714,0.472235185977573,2
3.0,2.0,167332.18,128125.70863176868,30.6,1.0,1.7969676259002068,0.8582266650092429,1
5.0,0.0,138807.18,198013.10221082636,29.9,2.0,3.072909297016851,0.782655406080605,2
7.0,0.0,171531.33,180407.3701294591,4.92,4.0,5.18861286740362,0.49688750883948685,2
8.0,1.0,188767.04,185721.20770520717,1.64,4.0,5.494841929833791,0.5951800282276292,2
1.0,1.0,37447.52,50536.46452929888,25.9,0.0,0.26100268161022444,0.3483099193661564,1
0.0,0.0,130403.78,113040.72378896728,15.36,0.0,0.017094006681172558,0.7183036603922999,1
0.0,0.0,60860.72,54617.89311504062,11.43,0.0,0.17382910083960412,0.9215236621828575,1
1.0,0.0,162693.09,180890.69443975374,10.06,0.0,0.33544907941838303,0.3824728963786147,1
5.0,2.0,32247.47,46319.25868410684,30.38,2.0,3.112298942317545,0.39239892200418763,2
2.0,0.0,78759.53,39252.193357747965,100.65,1.0,1.9822246184792882,0.6321967967203652,2
